Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity,Fuel_Type,Fuel_Tank_Capacity(L),Engine_Type,CC_Displacement,Transmission_Type,Power(BHP),Torque(Nm),Mileage(kmpl),Emission,Price,Transmission(Speed)
Hyundai,Venue,2019,white,suv,23164.0,1,5,petrol,45,Kappa 1.0 L Turbo GDi Petrol,998,Automatic,118.35,171.6,18.27,BS V,1039000,6
Maruti Suzuki,Ciaz,2019,blue,sedan,28618.0,1,5,petrol,43,K15 Smart Hybrid Petrol E,1499,Manual,103.25,138.0,20.65,BS IV,950000,5
Honda,WR-V,2017,red,suv,88695.0,1,5,petrol,40,i-VTEC Petrol engine,1199,Manual,88.5,110.0,16.5,BS IV,748000,5
Maruti Suzuki,Dzire,2018,blue,sedan,7858.0,1,5,petrol,37,1.2 Litre Petrol Engine,1499,Manual,88.5,113.0,24.12,BS V,820000,5
Hyundai,i20 Active,2016,red,crossover,88827.0,1,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,Manual,82.0,115.0,17.19,BS V,645000,5
Tata,Zest,2017,silver,sedan,7697.0,1,5,petrol,44,Revotron 1.2 T,1193,Manual,89.0,140.0,17.57,BS V,570000,5
MG Motors,Hector,2020,black,suv,31271.0,1,5,petrol,60,FWD,1451,Automatic,141.0,250.0,13.96,BS IV,1764000,6
Hyundai,Elite i20,2018,red,hatchback,17121.0,1,5,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,Manual,82.0,115.0,18.6,BS V,677000,5
Hyundai,Fluidic Verna 4S,2017,white,sedan,60287.0,1,5,petrol,43,VTVT Petrol Engine,1591,Automatic,121.3,154.9,17.0,BS IV,837000,4
MG Motors,Hector,2020,red,suv,8265.0,1,5,petrol,60,FWD,1451,Automatic,141.0,250.0,13.96,BS IV,1826000,6
Jeep,Compass,2017,red,suv,43091.0,2,5,diesel,60,2.0-Litre 4-Cyl Multijet II Engine,1956,Automatic,170.0,350.0,17.1,BS IV,1290000,6
Jeep,Compass,2017,blue,suv,44503.0,1,5,diesel,60,2.0-Litre 4-Cyl Multijet,1956,Automatic,170.63,350.0,17.1,BS IV,1559000,6
Hyundai,New Santro 1.1,2020,blue,hatchback,17056.0,1,5,petrol,35,1.1 L Petrol,1086,Manual,68.07,99.07,20.3,BS IV,523000,5
Maruti Suzuki,S-Cross,2018,blue,suv,61922.0,1,5,diesel,48,DDiS 200,1248,Manual,89.0,200.0,23.65,BS V,942000,5
Hyundai,i20 Active,2017,silver,crossover,60629.0,1,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,Manual,82.0,115.0,17.19,BS V,725000,5
Hyundai,i20 Active,2017,black,crossover,32602.0,1,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,Manual,82.0,115.0,17.19,BS V,711000,5
Ford,EcoSport,2020,silver,suv,26116.0,1,5,petrol,52, 1.5L Ti-VCT (Petrol),1496,Manual,121.0,149.0,21.17,BS IV,974000,5
Hyundai,i20 Active,2016,brown,crossover,90058.0,1,5,petrol,45,1.2L Kappa 5 Speed Manual Transmission,1197,Manual,82.0,115.0,17.19,BS V,608000,5
Hyundai,i10,2012,grey,hatchback,63676.0,1,5,petrol,35,4 cylinder inline petrol engine,1086,Manual,68.05,99.04,19.81,BS III,273000,5
Hyundai,i10,2011,grey,hatchback,43918.0,2,5,petrol,35,DOHC Kappa2 Engine,1197,Automatic,78.9,111.8,16.95,BS III,304000,4
Maruti Suzuki,Alto 800,2020,silver,hatchback,6301.0,1,5,petrol,35,F8D Petrol Engine,796,Manual,47.3,69.0,22.05,BS IV,361000,5
Renault,Kwid,2017,grey,hatchback,29907.0,1,5,petrol,28,Petrol Engine,799,Manual,53.3,72.0,25.12,BS V,365000,5
Hyundai,Elite i20,2016,white,hatchback,41218.0,1,5,diesel,45,"16 Valves, 4 Cylinder",1396,Automatic,89.0,220.0,22.54,BS IV,616000,6
Maruti Suzuki,Ertiga,2015,brown,muv,5475.0,1,7,petrol,45,K-Series Petrol Engine with VVT,1373,Manual,93.7,130.0,16.02,BS III,690000,5
